game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
barrage-2005.9-2617,.xml,barrage,BEAAAAAAAAMCDAAAAAAALDAAAAAAAAAAAAAAAAAKAA__AA__AAAA__AA__AAAAWAAAAAAAPPOAAAAAAANXAAAAAAAAYQAAAAAAAA,134,Player 1,Player 2,4,3
barrage-2014.0-2346,.xml,barrage,MBAAAAAAAAELAAAAAAAADDAAAAAAAACKAAAAAAAAAA__AA__AAAA__AA__AAAAAAAPAAAAWAAAAAAAAAOQXAAAAAAAYNPAAAAAAA,150,Player 1,Player 2,3,2
barrage-2006.2-7960,.xml,barrage,AAAAAAAADAAAAAAAAAAAAAAAALAAAAAAKCDEMBAAAA__AA__AAAA__AA__AAWQAAAAAAAANAAAAAAAAAYPAAAAAAAAOXPAAAAAAA,73,Player 1,Player 2,1,1
barrage.2003.06.03.34,.gsn,barrage,AAAAAAAABMAAAAAAAAADAAAAAAAAADALAACEAAKAAA__AA__AAAA__AA__AAWAAAXAAAAANAPAAAAAAAYAOAAAAAAAPQAAAAAAAA,34,red,blue,0,1
barrage-2014.3-2406,.xml,barrage,AAAMADBAAAAAAAAAAALAAAAAAAAAAACKAADAAAAEAA__AA__AAAA__AA__AAAAAAPQAAWOAAAAAAAAAAAAAAAAAAXNAAAAAAAAPY,54,Player 1,Player 2,1,2
barrage.2003.07.07.238,.gsn,barrage,AAAAAABMDEAAAAAAACADAAAAAAAKAAAAAAAAAALAAA__AA__AAAA__AA__AAAAAAANYOQAAAAAXAAAWAAAAAAAAAAAAAAAAPAPAA,73,red,blue,1,1
barrage-2006.1-5705,.xml,barrage,AAAAAAAAAAAAAAAAADADAAAAAAKCLAAAAAAABMAEAA__AA__AAAA__AA__AANPAAQWAAXPYAAAAAAAAAOAAAAAAAAAAAAAAAAAAA,17,Player 1,Player 2,1,1
barrage-2013.11-125,.xml,barrage,ADBEDMKLCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAXAAAWAAAAAAAAQOAAAAAAAAPYAAAAAAAAPN,118,Player 1,Player 2,3,1
barrage-2006.2-2717,.xml,barrage,MDAAAAAAAABKAAAAAAAAACAADAAAAAAELAAAAAAAAA__AA__AAAA__AA__AAPPAAAAAAAAWXAAAAAAAAYQAAAAAAAANOAAAAAAAA,71,Player 1,Player 2,1,1
barrage-2014.5-1840,.xml,barrage,AAAMEABAAAAAAAAAAAADAAAAAAAAAAKLAAACAADAAA__AA__AAAA__AA__AAAAAAPXAAWOAAAAAAAAAAAAAAAAAAPNAAAAAAAAQY,95,Player 1,Player 2,4,3
barrage-2014.11-1462,.xml,barrage,AAAAAAAABMAAAAAAAADLAAAAAAAAAAAAAADEAAKCAA__AA__AAAA__AA__AAAQAAOXAAWAAAAAAAAAAAPAAAAAAAAPAAAYAANAAA,7,Player 1,Player 2,1,1
barrage-2015.2-924,.xml,barrage,AAABAMLAAAAAAAAAAAAAAAAAAAAACADDAAKAAAAEAA__AA__AAAA__AA__AAQPAAWOAANAAAAAAAAAAAXAAAAAAAAAYPAAAAAAAA,54,Player 1,Player 2,3,2
barrage-2014.0-605,.xml,barrage,ADAMABEAAAAAAAAAAAAKAACAAAAAAAAAAALAAADAAA__AA__AAAA__AA__AAAAAAAAAAXWAAAAAAAAQPAAAAAAAANYAAAAAAAAPO,44,Player 1,Player 2,1,2
barrage-2005.11-5699,.xml,barrage,AAAAAAAAEMAAAAAAAAABAAAAAAAAAAADAACKAALDAA__AA__AAAA__AA__AAAAAQAANAWAAAAAPAAAXPAAAAAAAYAAAAAAAAAOAA,62,Player 1,Player 2,1,2
