game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
classic.2003.07.01.485,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.14.363,.gsn,classic,,0,-unknown-,guest,11,2
classic.2003.06.25.543,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic-2014.9-2525,.xml,classic,,0,Player 1,Player 2,3,1
classic.2003.06.30.118,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.07.04.153,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.28.852,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.07.04.701,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.11.561,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.20.289,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.07.04.643,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.11.236,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.07.01.360,.gsn,classic,,0,Buxe,-unknown-,11,1
classic.2003.06.15.552,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.19.630,.gsn,classic,,0,-unknown-,euelster,11,2
classic.2003.06.12.568,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.06.12.623,.gsn,classic,,0,-unknown-,-unknown-,10,3
classic.2003.07.05.828,.gsn,classic,,0,-unknown-,-unknown-,10,3
