game_id,game_fmt
classic-2005.9-7094,.xml
classic-2014.3-2650,.xml
classic-2006.0-7632,.xml
classic-2014.0-2601,.xml
classic-2005.9-7932,.xml
barrage-2005.9-2617,.xml
classic-2005.10-5312,.xml
classic-2015.0-674,.xml
classic-2014.7-84,.xml
classic-2005.11-3280,.xml
classic-2005.9-4289,.xml
classic-2014.7-1582,.xml
classic-2006.2-6745,.xml
classic-2014.4-1271,.xml
barrage-2014.0-2346,.xml
classic-2006.4-5559,.xml
classic.2003.10.31.3234,.gsn
classic-2015.1-1180,.xml
classic-2006.1-7795,.xml
classic-2014.10-2800,.xml
classic-2014.9-607,.xml
classic.2003.06.25.471,.gsn
barrage-2006.2-7960,.xml
classic-2006.2-6665,.xml
classic-2015.1-541,.xml
classic-2015.1-2090,.xml
classic-2005.9-6052,.xml
classic.2003.05.14.316,.gsn
classic-2014.7-1228,.xml
classic-2014.0-1404,.xml
classic-2006.1-2913,.xml
ultimate_lightning-2006.7-3900,.xml
classic-2015.1-577,.xml
classic-2005.9-6044,.xml
classic-2014.9-2073,.xml
classic-2006.2-5700,.xml
classic-2005.11-7124,.xml
classic-2015.1-2377,.xml
classic-2005.11-6375,.xml
classic-2006.1-6435,.xml
barrage.2003.06.03.34,.gsn
barrage-2014.3-2406,.xml
classic-2014.4-190,.xml
classic-2005.10-5520,.xml
classic-2005.9-431,.xml
classic-2014.9-1005,.xml
classic-2014.3-2438,.xml
classic-2005.11-3178,.xml
barrage.2003.07.07.238,.gsn
classic-2013.11-2397,.xml
classic-2014.10-743,.xml
classic-2006.4-3445,.xml
classic-2014.8-1086,.xml
classic-2005.9-3647,.xml
classic-2006.2-3468,.xml
classic-2014.3-1502,.xml
classic-2005.11-4252,.xml
classic-2006.7-2944,.xml
classic.2003.05.18.94,.gsn
classic-2014.11-2130,.xml
classic-2006.4-3246,.xml
barrage-2006.1-5705,.xml
classic-2006.2-4477,.xml
classic-2014.11-209,.xml
classic-2006.4-3294,.xml
classic-2005.9-5768,.xml
classic-2014.5-1366,.xml
classic-2006.1-7385,.xml
classic-2006.5-5403,.xml
classic.2003.09.26.5815,.gsn
classic-2005.11-4723,.xml
classic-2005.11-4817,.xml
classic-2014.6-2272,.xml
classic-2006.1-7305,.xml
classic-2014.6-473,.xml
classic-2015.0-2327,.xml
classic-2006.7-1398,.xml
classic-2006.5-313,.xml
classic.2003.08.15.5900,.gsn
classic-2005.9-6891,.xml
classic-2014.10-180,.xml
classic-2005.11-2594,.xml
classic-2014.1-1517,.xml
classic-2005.9-2110,.xml
classic.2003.12.27.4568,.gsn
classic-2006.0-1830,.xml
classic.2003.10.20.1919,.gsn
classic-2006.5-5951,.xml
classic-2013.10-2424,.xml
barrage-2013.11-125,.xml
classic-2005.11-2149,.xml
classic-2014.5-135,.xml
classic-2014.5-1756,.xml
classic-2014.0-2924,.xml
classic-2014.11-1571,.xml
classic.2003.12.16.5764,.gsn
classic-2014.10-709,.xml
classic-2006.0-7655,.xml
classic-2005.10-1075,.xml
classic-2006.2-7635,.xml
classic-2014.3-1062,.xml
classic-2013.11-2733,.xml
classic-2005.11-266,.xml
classic-2006.5-3153,.xml
classic-2006.1-3623,.xml
classic-2006.4-4845,.xml
classic-2014.4-1470,.xml
classic-2006.7-1090,.xml
classic.2003.11.01.2567,.gsn
classic.2003.12.19.603,.gsn
classic-2006.1-7101,.xml
classic-2005.11-984,.xml
classic-2006.2-2855,.xml
classic-2005.11-4966,.xml
classic-2005.10-2649,.xml
classic.2003.06.17.404,.gsn
classic.2003.09.22.4090,.gsn
classic-2015.0-468,.xml
classic-2006.2-1711,.xml
classic.2003.11.11.4409,.gsn
barrage-2006.2-2717,.xml
classic-2006.1-8560,.xml
classic-2013.11-2224,.xml
classic-2006.4-1070,.xml
classic-2014.3-468,.xml
classic-2006.5-5373,.xml
classic-2005.10-6151,.xml
classic-2014.11-225,.xml
classic-2005.9-513,.xml
classic-2006.0-4330,.xml
classic-2005.11-4284,.xml
classic-2014.6-1816,.xml
classic-2006.4-902,.xml
classic-2014.3-1114,.xml
classic-2013.10-1807,.xml
barrage-2014.5-1840,.xml
classic-2006.1-8682,.xml
classic-2006.0-3905,.xml
classic-2006.0-5676,.xml
classic-2006.2-5867,.xml
barrage-2014.11-1462,.xml
classic-2014.0-2169,.xml
classic-2006.0-3141,.xml
classic-2005.11-7689,.xml
classic.2003.12.01.3115,.gsn
classic-2005.9-6364,.xml
classic-2014.4-432,.xml
classic-2005.9-5932,.xml
classic-2015.2-1773,.xml
classic-2014.4-1130,.xml
classic.2003.06.02.398,.gsn
classic-2005.9-3203,.xml
classic-2005.10-4953,.xml
barrage-2015.2-924,.xml
classic.2003.07.23.10,.gsn
classic-2006.1-2476,.xml
classic-2005.9-5720,.xml
classic-2014.3-2912,.xml
classic-2014.6-1906,.xml
classic-2014.9-1479,.xml
classic-2014.1-2983,.xml
classic-2015.2-97,.xml
classic-2013.10-339,.xml
classic-2006.0-3781,.xml
classic-2014.11-374,.xml
classic-2006.1-9468,.xml
classic-2006.1-1461,.xml
classic-2014.10-592,.xml
classic-2014.2-443,.xml
classic-2006.1-2143,.xml
classic.2003.06.01.93,.gsn
classic-2006.0-5666,.xml
classic-2005.11-5968,.xml
classic-2005.11-5487,.xml
classic-2005.10-2981,.xml
classic-2005.10-3938,.xml
classic-2005.11-4629,.xml
classic-2014.8-1426,.xml
classic-2006.5-3276,.xml
classic-2006.0-6801,.xml
classic-2014.10-1540,.xml
classic-2005.9-676,.xml
classic-2014.9-1255,.xml
classic-2005.10-1673,.xml
classic.2003.08.24.2269,.gsn
classic-2015.1-1264,.xml
classic-2015.1-27,.xml
classic-2014.11-716,.xml
classic-2015.1-673,.xml
classic.2003.12.17.3710,.gsn
classic-2014.6-1399,.xml
classic-2006.0-5356,.xml
classic.2003.06.29.332,.gsn
classic.2003.07.31.5301,.gsn
classic.2003.08.19.1696,.gsn
classic-2014.6-1838,.xml
classic-2015.0-562,.xml
classic-2005.11-6620,.xml
classic-2006.5-661,.xml
classic-2005.11-29,.xml
classic-2005.10-3927,.xml
classic-2006.0-4063,.xml
classic-2005.11-5661,.xml
classic-2006.7-6037,.xml
classic-2005.10-4840,.xml
classic-2005.9-349,.xml
classic-2006.2-7643,.xml
barrage-2014.0-605,.xml
classic-2006.5-4169,.xml
classic.2003.11.30.294,.gsn
classic-2006.7-1581,.xml
classic-2006.2-4782,.xml
classic-2006.2-5262,.xml
classic-2014.0-2037,.xml
classic-2005.11-3143,.xml
classic-2006.4-619,.xml
classic-2006.0-1926,.xml
classic.2003.07.01.425,.gsn
classic-2014.5-1514,.xml
classic-2006.1-5715,.xml
classic-2014.11-1065,.xml
classic-2006.5-5185,.xml
classic.2003.09.02.5947,.gsn
classic-2005.10-2017,.xml
classic-2014.5-2135,.xml
classic-2014.7-92,.xml
classic.2003.10.16.4868,.gsn
classic.2003.05.30.315,.gsn
classic-2005.11-2535,.xml
classic.2003.12.30.583,.gsn
barrage-2005.11-5699,.xml
classic.2003.06.21.706,.gsn
classic-2006.2-4279,.xml
classic-2006.2-3672,.xml
classic-2014.0-836,.xml
barrage-2006.2-4203,.xml
classic.2004.01.05.823,.gsn
classic.2003.12.23.1559,.gsn
classic-2005.9-2578,.xml
classic-2006.1-3759,.xml
classic-2006.1-679,.xml
classic.2003.10.09.5634,.gsn
classic-2014.7-57,.xml
barrage-2014.1-2759,.xml
classic-2015.0-2157,.xml
classic-2006.1-3794,.xml
classic.2003.12.16.4760,.gsn
classic-2005.10-4590,.xml
classic-2005.10-7215,.xml
classic.2003.11.08.1618,.gsn
classic-2014.8-1675,.xml
classic-2005.11-5266,.xml
classic-2006.1-2264,.xml
ultimate.2003.11.06.5252,.gsn
classic-2005.9-725,.xml
classic.2003.05.19.9,.gsn
classic-2014.8-2393,.xml
classic-2006.1-2085,.xml
classic-2006.2-163,.xml
classic.2003.06.09.238,.gsn
classic.2003.07.28.3393,.gsn
classic-2005.10-2818,.xml
classic.2003.12.13.1886,.gsn
classic.2003.06.27.709,.gsn
classic-2006.2-739,.xml
classic-2005.10-8033,.xml
classic-2006.5-53,.xml
classic-2014.2-2580,.xml
classic.2003.09.25.1517,.gsn
classic.2003.11.13.3171,.gsn
classic-2005.11-6002,.xml
classic-2014.9-1775,.xml
classic-2014.1-2763,.xml
barrage-2014.0-2706,.xml
classic.2004.01.05.6062,.gsn
classic-2006.1-7370,.xml
classic-2006.5-2578,.xml
classic.2003.05.24.18,.gsn
barrage-2014.9-1141,.xml
classic-2014.11-380,.xml
classic-2006.7-2231,.xml
classic-2006.0-5712,.xml
classic-2005.10-2329,.xml
classic-2005.10-3853,.xml
classic-2005.11-3877,.xml
classic.2003.12.28.5064,.gsn
classic.2003.08.29.477,.gsn
classic.2003.10.10.5295,.gsn
classic-2013.10-1879,.xml
classic-2006.7-4453,.xml
classic-2014.1-513,.xml
classic-2006.5-1238,.xml
classic-2015.1-2315,.xml
classic-2015.2-2112,.xml
classic.2003.05.28.421,.gsn
classic-2006.0-3430,.xml
classic-2006.2-3233,.xml
classic-2006.0-4972,.xml
classic-2006.7-5710,.xml
classic-2006.7-796,.xml
classic-2005.10-6086,.xml
barrage-2014.8-97,.xml
classic-2014.11-687,.xml
classic-2006.5-943,.xml
classic-2006.5-1100,.xml
barrage-2005.11-4943,.xml
classic-2006.0-5052,.xml
classic-2006.2-6783,.xml
classic.2003.09.12.532,.gsn
classic-2014.9-301,.xml
classic-2006.0-1278,.xml
classic.2003.06.30.229,.gsn
classic-2006.4-6752,.xml
classic-2014.4-497,.xml
classic-2006.2-6907,.xml
classic-2014.11-67,.xml
classic-2005.10-131,.xml
classic-2014.3-1775,.xml
classic.2003.05.21.30,.gsn
classic-2006.0-3832,.xml
classic-2006.1-5053,.xml
classic-2006.5-2132,.xml
classic-2013.10-2124,.xml
classic.2003.12.02.4088,.gsn
classic-2006.0-7081,.xml
classic-2006.1-7904,.xml
classic-2014.0-103,.xml
classic-2005.9-6070,.xml
ultimate.2003.06.01.51,.gsn
classic-2005.11-4117,.xml
classic-2013.10-2791,.xml
classic-2014.9-1935,.xml
classic-2006.5-2222,.xml
classic-2013.10-1617,.xml
classic.2003.12.16.4826,.gsn
classic-2006.1-6010,.xml
classic-2013.11-2050,.xml
classic-2014.11-186,.xml
classic-2006.1-874,.xml
classic-2005.11-1700,.xml
classic-2005.10-279,.xml
classic-2006.7-1837,.xml
classic-2014.6-2045,.xml
classic-2014.2-1772,.xml
barrage.2003.05.26.68,.gsn
classic.2003.08.25.5874,.gsn
classic.2003.06.12.528,.gsn
classic-2005.9-8038,.xml
classic-2006.7-5337,.xml
classic-2006.5-1294,.xml
classic-2014.1-178,.xml
classic-2006.2-5907,.xml
classic-2005.9-4346,.xml
classic-2014.7-681,.xml
classic-2005.9-5228,.xml
classic-2014.11-1789,.xml
classic.2004.01.05.816,.gsn
classic.2003.08.31.3209,.gsn
classic-2014.9-783,.xml
classic-2006.7-5145,.xml
classic-2005.11-4367,.xml
classic-2006.0-6666,.xml
barrage-2006.5-1570,.xml
classic-2005.9-3237,.xml
classic-2006.0-6548,.xml
classic-2006.0-6397,.xml
classic-2005.10-5912,.xml
classic-2006.1-976,.xml
classic-2006.4-49,.xml
classic-2006.4-1668,.xml
classic-2014.9-1227,.xml
classic-2005.11-2143,.xml
ultimate.2003.06.02.404,.gsn
classic.2003.11.29.350,.gsn
classic-2014.1-2032,.xml
classic-2006.5-5645,.xml
classic-2005.10-5217,.xml
classic-2006.1-3436,.xml
classic-2005.9-1923,.xml
classic-2014.9-1334,.xml
classicfree-2014.3-38,.xml
classic-2014.10-1277,.xml
classic-2014.5-1061,.xml
classic-2005.11-684,.xml
classic-2006.0-2497,.xml
classic-2015.2-2450,.xml
classic-2006.0-1442,.xml
classic.2003.09.18.863,.gsn
classic.2003.12.09.2520,.gsn
classic-2005.9-4942,.xml
classic.2003.06.13.123,.gsn
classic-2006.1-3305,.xml
classic-2006.7-4605,.xml
classic-2006.4-4870,.xml
classic-2015.0-761,.xml
barrage-2014.1-575,.xml
classic.2003.06.06.488,.gsn
classic-2014.1-2852,.xml
classic-2014.6-537,.xml
classic-2015.1-551,.xml
classic-2014.8-1730,.xml
classic-2005.11-7438,.xml
classic-2006.0-5850,.xml
classic.2003.05.16.21,.gsn
classic-2006.7-6188,.xml
barrage-2014.7-1568,.xml
barrage-2006.2-4949,.xml
classic-2006.1-7262,.xml
classic-2014.10-2046,.xml
classic-2005.11-2614,.xml
classic-2006.5-6655,.xml
classic-2013.11-1817,.xml
classic-2006.4-1162,.xml
classic-2005.11-3849,.xml
classic-2006.5-6526,.xml
classic-2006.1-3713,.xml
classic.2003.12.18.188,.gsn
classic.2003.12.20.1313,.gsn
classic-2014.2-2241,.xml
classic-2014.6-1,.xml
classic.2003.05.23.26,.gsn
classic-2006.2-4074,.xml
classic-2005.10-689,.xml
classic-2006.4-4809,.xml
classic-2006.1-5056,.xml
classic-2013.10-2895,.xml
classic.2003.10.02.4182,.gsn
classic-2006.0-7279,.xml
classic-2006.1-7870,.xml
classic-2006.1-2515,.xml
classic-2005.10-5017,.xml
classic-2015.2-1208,.xml
classic-2005.10-6916,.xml
classic-2006.7-6005,.xml
classic-2006.0-5104,.xml
classic-2006.5-1135,.xml
barrage-2014.9-2054,.xml
classic.2003.12.22.5223,.gsn
classic-2014.9-935,.xml
classic-2006.5-5463,.xml
classic-2006.7-4554,.xml
classic.2003.09.02.3118,.gsn
classic-2005.11-471,.xml
classic-2006.0-97,.xml
classic-2015.0-289,.xml
classic-2005.9-3640,.xml
classic-2005.9-6623,.xml
classic-2005.10-2585,.xml
barrage-2014.1-492,.xml
classic-2006.1-650,.xml
classic-2013.10-2599,.xml
classic.2003.06.09.641,.gsn
classic.2003.12.28.4987,.gsn
classic.2003.09.17.2963,.gsn
classic.2003.06.12.179,.gsn
classic-2006.2-343,.xml
classic-2014.9-1309,.xml
classic-2006.0-2853,.xml
classic-2014.9-1700,.xml
classic-2014.9-206,.xml
classic-2005.11-1573,.xml
classic-2006.1-2987,.xml
classic-2014.8-598,.xml
classic-2015.2-635,.xml
classic-2006.0-5493,.xml
classic-2014.10-197,.xml
classic-2005.9-7010,.xml
classic-2014.6-768,.xml
classic-2006.5-6163,.xml
classic-2005.9-1075,.xml
barrage-2013.10-438,.xml
classic.2003.06.30.328,.gsn
classic-2006.7-5353,.xml
classic.2003.12.31.5656,.gsn
classic-2006.5-6066,.xml
classic-2005.11-6500,.xml
classic-2014.0-446,.xml
classic-2006.0-2608,.xml
classic-2014.9-2328,.xml
classic-2014.9-1232,.xml
classic-2006.2-1510,.xml
classic-2006.5-4047,.xml
classic-2005.10-1056,.xml
classic-2006.4-2785,.xml
classic-2006.5-754,.xml
classic-2005.9-4981,.xml
classic-2006.0-5560,.xml
classic-2014.1-2206,.xml
barrage-2014.9-801,.xml
barrage-2014.8-1997,.xml
classic-2006.1-1927,.xml
barrage-2006.2-210,.xml
classic-2014.8-1798,.xml
classic-2014.5-2258,.xml
barrage-2006.5-3629,.xml
classic-2005.10-7296,.xml
classic-2015.0-42,.xml
classic-2006.0-5698,.xml
classicfree-2015.1-240,.xml
classic-2013.10-2655,.xml
classic-2006.7-6315,.xml
classic-2005.11-6689,.xml
classic-2006.4-1388,.xml
classic-2015.0-2073,.xml
classic-2005.9-7566,.xml
classic.2003.12.05.6092,.gsn
classic-2006.4-6270,.xml
classic-2006.2-5257,.xml
classic-2014.8-1267,.xml
barrage-2014.1-153,.xml
classic-2005.9-5467,.xml
classic-2006.2-6482,.xml
classic-2006.4-4324,.xml
classic-2006.5-1747,.xml
classic-2005.9-7027,.xml
classic-2006.0-1137,.xml
classic-2006.2-1459,.xml
classic-2005.9-7044,.xml
ultimate_lightning-2005.11-2522,.xml
classic-2014.11-971,.xml
classic-2005.11-2672,.xml
duell-2014.3-51,.xml
classic-2015.2-292,.xml
classic.2003.05.21.24,.gsn
classic-2005.9-1010,.xml
classic-2015.2-714,.xml
classic.2003.06.20.107,.gsn
classic-2013.11-883,.xml
classic-2005.10-3849,.xml
ultimate_lightning-2014.8-1535,.xml
classic.2003.05.10.229,.gsn
classic-2014.9-2178,.xml
classic.2003.12.15.5484,.gsn
classic-2014.1-2062,.xml
classic-2005.10-3252,.xml
classic-2014.4-1258,.xml
classic-2006.2-2151,.xml
classic-2006.1-7360,.xml
classic-2014.4-1397,.xml
classic-2014.6-1786,.xml
classic-2006.0-1014,.xml
classic-2015.1-1619,.xml
classic-2006.4-1300,.xml
classic-2014.10-1415,.xml
classic-2005.11-2517,.xml
barrage-2006.5-6623,.xml
classic-2015.1-977,.xml
barrage-2005.10-7695,.xml
classic-2006.5-2883,.xml
classic-2006.5-2457,.xml
classic-2006.2-8156,.xml
classic.2003.09.26.6047,.gsn
classic-2005.10-3396,.xml
classic-2006.7-4487,.xml
classic-2014.3-1657,.xml
classic-2005.9-1067,.xml
classic-2006.2-5939,.xml
classic.2003.11.19.3007,.gsn
classic-2005.11-3368,.xml
classic-2005.9-6546,.xml
