game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
ultimate_lightning-2006.7-3900,.xml,ultimate lightning,EAFAACGMBAAKADDHAJGBDDLHAAAFAAAAIAAEAAAAAA__AA__AAAA__AA__AASRXWTRPAQAAPAOAAUAASNTAAAPAQAAYNAVAAAAPA,27,Player 1,Player 2,3,2
ultimate.2003.11.06.5252,.gsn,ultimate lightning,ADDHDEMBGAAAACAHFDABAAKJAALAAIAGAAAFAAAEAA__AA__AAAA__AA__AARSOASAAAAANWATXPAAAAQQAVTPAAAAYNUPPRAAAA,618,red,blue,1,2
ultimate.2003.06.01.51,.gsn,ultimate lightning,EAHFDAFDDJAAACDAAAAEAIAAABMBAHAGAAAGLAAKAA__AA__AAAA__AA__AAAAAAAAAAAASXYNAUWRSVATNOATPPAAQAQAARAPAP,167,red,blue,3,1
ultimate.2003.06.02.404,.gsn,ultimate lightning,AAAADCBGEAADAAFFEAAAAKAAAHAAAALDMBJHDAIGAA__AA__AAAA__AA__AAVAAAARAASWXAPARSAAQATNOAAATAPPAYANUAAAQP,55,red,blue,1,1
ultimate_lightning-2005.11-2522,.xml,ultimate lightning,EDFBDADADAMGBJGAICFAHAHAAAAAAALKAAAAAAEAAA__AA__AAAA__AA__AAAXAAWAAAAAAAAAAAAUAAPTVRPOPSTAYSAQPQNRAN,117,Player 1,Player 2,3,1
ultimate_lightning-2014.8-1535,.xml,ultimate lightning,AAAADAAGAAAAAAAAAAAAELDBIDCAHAFHMJGEKBFDAA__AA__AAAA__AA__AAPQVANAAANAPWUSRPXSRPQAAATAOATAYAAAAAAAAA,66,Player 1,Player 2,3,2
ultimate_lightning-2006.1-9311,.xml,ultimate lightning,AAEAAAAHAAADBDAAMBDAAFILFEHCKAAAGJADAGAAAA__AA__AAAA__AA__AASRTQSAAAAANWOAXRAAAANQUPTAAAAAYPPPVAAAAA,264,Player 1,Player 2,3,2
ultimate_lightning-2005.10-971,.xml,ultimate lightning,MEADADAAAAEDAABAAAAAHHCBGFJAGALKIDAAFAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAATWPVXUSRAASOPTPQPNAAAAAAQRNY,99,Player 1,Player 2,1,1
ultimate.2003.11.10.4168,.gsn,ultimate lightning,ADAAAADBAAAAEMADEBFAALAHAAHAAAGJACFDAIGKAA__AA__AAAA__AA__AAQSTASAAAAANWOAXRAAAANVPTAPAAAAYQUPPRAAAA,109,red,blue,1,1
ultimate.2003.05.08.384,.gsn,ultimate lightning,FABADAAHAMEABAIAACAJDAFAGAALAHEADADAAKAGAA__AA__AAAA__AA__AAAQASAAVAAAPUXTPQOPAAANAASAWAPARYTNARAAAA,189,red,blue,1,1
ultimate.2003.09.09.5736,.gsn,ultimate lightning,EEAFDFHABMDAAAAAAHABAAAALAAAAAIGADDKACJGAA__AA__AAAA__AA__AAAARAAXATAQATAVQAWAAAAANYAPONAAARSPPASPUA,63,red,blue,1,1
ultimate.2003.05.15.151,.gsn,ultimate lightning,MBADEFHCGGBAAAADEFDDAAHAAAAAAALKAAIAAAJAAA__AA__AAAA__AA__AAQAAUWAQAXAAAAAAAOAVPRAAASAAAAPTPSPTRANNY,55,red,blue,1,1
ultimate_lightning-2006.0-3057,.xml,ultimate lightning,MDBEBADAADFGAJDFIAAEHACHGAAAAALKAAAAAAAAAA__AA__AAAA__AA__AAAATVAAXSAAUWAAAAAAAQNSAAAAAOPPRPPAARTYQN,133,Player 1,Player 2,1,1
ultimate.2003.12.27.3636,.gsn,ultimate lightning,FBDHMAAAAABLKDEAAAAAHIJCGAAAAADGFEDAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAAQPXSURPTQNVTYOWPSPNR,206,red,blue,1,2
ultimate.2003.05.11.355,.gsn,ultimate lightning,FGFEDMBCDAEDDAABAAAAAAAAAAAHAALKAAJGAHAIAA__AA__AAAA__AA__AAAAAAAAAAAASAAXAAWPAAOATPAPAVASNQQYTUNPRR,100,red,blue,1,2
ultimate_lightning-2005.9-5930,.xml,ultimate lightning,DDAAAAAABMEAAAAAAAABFHCAAAAJHEGIKADDALGFAA__AA__AAAA__AA__AARSAAVRAAUXPPAAOAAAAAQNWAPPTAAASYNQAAATAA,136,Player 1,Player 2,1,2
ultimate.2003.05.19.38,.gsn,ultimate lightning,EDAAAAAADFDAAAHAAAADAIACABAHAALKMBGFEAGJAA__AA__AAAA__AA__AAWXATAAAAVAQAPAARAAAANQPPAAAASRYNAPTAAUOS,73,red,blue,1,1
ultimate_lightning-2005.9-4706,.xml,ultimate lightning,DEBDFGMBGEFADHAAKCAAAAAIAAAHAAAALAAAJDAAAA__AA__AAAA__AA__AATUAORSVAPNXQAPNTPAWQAAASYPRAAAAAAAAAAAAA,283,Player 1,Player 2,13,1
ultimate_lightning-2005.9-7942,.xml,ultimate lightning,DEMDAABCFBFAIEAAHDAGAGAHAADAJAAAAKAALAAAAA__AA__AAAA__AA__AAWXAUSAAAVSTTAONQAAAAPARAAAAAAAPQYNRAAAPP,26,Player 1,Player 2,1,2
ultimate_lightning-2005.10-4795,.xml,ultimate lightning,EMBBEAAAAAIDAAAAAAAAFLAAKDAAJAGDHCFDAHGAAA__AA__AAAA__AA__AAASAUAWAXAAQATAOAPAPAAYANANAVAPSAQARTRAPA,51,Player 1,Player 2,1,1
ultimate.2003.06.17.350,.gsn,ultimate lightning,DKDHFBEDEMAAAAABFDIGAAAAAGAALJAAAAAACHAAAA__AA__AAAA__AA__AAAAAAAAAAAATAWAVXATAANPOUSAPRPAAPQYSARNQA,83,red,blue,1,1
ultimate.2003.05.21.136,.gsn,ultimate lightning,ECDDDDGABMAFAAAAAAFBAAAAAAAAAEJGAHIAHALKAA__AA__AAAA__AA__AAQRAASQAAXTAAAWPAPVAAAATANOSUPAAAAPAAYARN,73,red,blue,1,1
ultimate_lightning-2006.1-4398,.xml,ultimate lightning,FDDDDAAAAAAAAAAAAAAAFGAAHECMHABBAAGJKELIAA__AA__AAAA__AA__AAPXTQPPQSWATROASARPVAAAANUNAAAAAAAAYAAAAA,123,Player 1,Player 2,1,1
ultimate.2003.08.10.185,.gsn,ultimate lightning,DDAAEHAAADDAAAJMIAAAFAAAEHAACFGLAABBAAKGAA__AA__AAAA__AA__AASSAARPAATTVPAAXAPAWANURAAQAAOAYNAAAAQAAP,120,red,blue,1,2
ultimate_lightning-2005.9-6876,.xml,ultimate lightning,AAAAAADDDDAAAAAGFFEEAAAAAGHHIJMAAAABBLKCAA__AA__AAAA__AA__AASRAWARXPAAAVOAPANAUSAAAAPTYTNAPAAAQAAAAQ,43,Player 1,Player 2,3,2
ultimate_lightning-2006.0-796,.xml,ultimate lightning,MBEJAAAGLHBFCHAAAAIEFKGAAAAAAADDAADDAAAAAA__AA__AAAA__AA__AAVSAAARAARSXAPTAATAAWYUAAAAOAAQNNPAPAAAQP,172,Player 1,Player 2,1,2
ultimate_lightning-2006.0-1286,.xml,ultimate lightning,BEBFDAAADAMGDJADAIEAHACHAGAAAAFKAAAALAAAAA__AA__AAAA__AA__AAWUAAAAAAAAAAOTAAXTRPAAAAQSAAAAPQNNSPYRVP,375,Player 1,Player 2,3,1
